ID,label,predicted_label,text
303131152384946177,-1,-1,doing some experiments crawling tweets about Batavierenrace .. let us see if it succeeds.
303139294103617536,-1,-1,doing some experiments crawling tweets about Batavierenrace .. let us see if it succeeds..
303139519534866433,-1,-1,doing some experiments crawling tweets about Batavierenrace .. let us see if it succeeds...
303937526471725056,-1,-1,Batavierenrace door #Ulft: Eind april klinkt jaarlijks het startschot voor de grootste estafetteloop v... http://t.co/hijGD3pk #Enschede
303959452221046784,-1,-1,Organiseer jij een  NSK in 2013? Meld je dan aan voor de NSK bijeenkomst van komende donderdag! @NSAFZeuS @Batavierenrace Graag RT!
304021983417487360,-1,-1,RT @nieuws_enschede: Batavierenrace door #Ulft: Eind april klinkt jaarlijks het startschot voor de grootste estafetteloop v... http://t. ...
304103798241107968,-1,-1,RT @studentsportNL: Organiseer jij een  NSK in 2013? Meld je dan aan voor de NSK bijeenkomst van komende donderdag! @NSAFZeuS @Bataviere ...
304141118537351168,-1,-1,RT @studentsportNL: Organiseer jij een  NSK in 2013? Meld je dan aan voor de NSK bijeenkomst van komende donderdag! @NSAFZeuS @Bataviere ...
304159669323194368,-1,-1,"To batavierenrace or not to batavierenrace, that's the question... #Batavierenrace #estafette"
304165988600000512,-1,-1,Voor het eerst mijn beentjes strekken. Ik ben benieuwd hoe het mij afgaat #Batavierenrace
304172037973364736,-1,-1,Bursaspor Batalla'y satyor mu? http://t.co/JFBFrsIw
304172058626121728,-1,-1,Katuwa ang mga bata..hehe..
304172076296699904,-1,-1,@AL_NISAA1:\nMara ankuo ka nicha nichn ha ilaj b karya ha par nichan ni ja raha plz koi cream ya koi tip bata da\n\n yasmeem khan\nKhi
304172078146392064,-1,-1,Svet Poznatih | Bata: Sre_an sam _to sam ponovo u svom domu http://t.co/bSIQc5vF
304172088552468480,-1,-1,Anong payo ang iyong maibibigay sa mga bata ngayon?  Huwag maging atat umibig. Iba resulta kapag biglang kabig.... http://t.co/FFnLf9Hb
304172126993252352,-1,-1,RT @HiBabeee: SELOS: Hindi ito tanda ng pagiging ISIP BATA. Ito ay tanda ng pagmamahal ng TAMA.
304172204776636416,-1,-1,@jessasilapan hahah :)) oo nga kya nga nkakagulat e. ang bata pa. Hahah :))
304172204860510208,-1,-1,"RT @ShitHappensDre: Ke bata bata, ang harot harot na!"
304172220647874560,-1,-1,"Napakagandang bata, sayang di na nya mararanasan lahat ng mssya sa buhay."
304172231544688640,-1,-1,"Bu sar_nlar harbiden mal abi yaa. Ben bu havada markete gitmeye _eniyorum, kz giymi_ 2 metre topukluyu amura bata bata yryor. Mal ya."
304175023164362752,-1,-1,I feel like dancing..#bata#salsa
304178380130103296,-1,-1,#Batavierenrace #Nijmegen  #Atletiek  Sport &amp; Spel  Vrije tijd &amp; Recreatie http://t.co/OrChMyxX
304180787769643009,-1,-1,"Evenement waar je trots op kunt zijn: De voorbereiding van de Batavierenrace, de grootste estafettel... http://t.co/52FXb2QI #Enschede"
304184027190026240,-1,-1,"Tatlo Lang Ang Pwedeng MakaPagSabe Ng Totoo . .. Ang #Lasing , #Bata , #Galet ."
304184374147043328,-1,-1,"Evenement waar je trots op kunt zijn: De voorbereiding van de Batavierenrace, de grootste estafetteloop t... http://t.co/aBD8APKS #Oss"
304188835015847937,-1,-1,@Adityaveranda48 sabaar sabaar mulu udah berapa hari tuh gw minta pulsa kgak dikirimin #bata mana bataa...
304189397476192256,-1,-1,wakak:D udh msk blm?"@zhareza86: @Adityaveranda48 sabaar sabaar mulu udah berapa hari tuh gw minta pulsa kgak dikirimin #bata mana bataa..."
304201118190297090,-1,-1,Bangkrut __ #shopping #lost #wallet #insight #spyderbilt #billabong #pants #hardware #lunamaya #bata http://t.co/8btdTA1W
304241347647397889,-1,-1,"RT @nieuws_enschede: Evenement waar je trots op kunt zijn: De voorbereiding van de Batavierenrace, de grootste estafettel... http://t. ..."
304863996471803904,-1,-1,Maar zo wel even hardlopen want die cascaderun &amp; batavierenrace komen alleeen maar dichterbij!
305350578098298880,-1,-1,Morgenvroeg maar beginnen met trainen voor de #Batavierenrace met m'n knalpaarse H&amp;M bodywarmer! #Hardlopen
306015278108643328,-1,-1,testing crawler #bata2013
306015686742921216,-1,-1,testing crawler #bata13
306035989846052865,-1,-1,Ben jij een snelle hardloper? Lopers gezocht voor het Hanze/RUG/ACLO-team voor de @Batavierenrace http://t.co/lrQgQ5u8MT #hanze
306044743291400192,-1,-1,RT @hanze: Ben jij een snelle hardloper? Lopers gezocht voor het Hanze/RUG/ACLO-team voor de @Batavierenrace http://t.co/lrQgQ5u8MT #hanze
306048821094395904,-1,-1,RT Hanzehogeschool: Ben jij een snelle hardloper? Lopers gezocht voor het Hanze/RUG/ACLO-team voor de @Batavierenrace http://t....
306090820342251520,-1,-1,RT @hanze: Ben jij een snelle hardloper? Lopers gezocht voor het Hanze/RUG/ACLO-team voor de @Batavierenrace http://t.co/lrQgQ5u8MT #hanze
306111247093493760,-1,-1,RT @hanze: Ben jij een snelle hardloper? Lopers gezocht voor het Hanze/RUG/ACLO-team voor de @Batavierenrace http://t.co/lrQgQ5u8MT #hanze
306311486165352448,-1,-1,Wil jij je ook een keer van je sportieve kant laten zien? Doe dan mee met de Batavierenrace met Sant! http://t.co/7GuzX5zSfs
308945884060733440,-1,-1,Ingeschreven voor de @Batavierenrace namens @svidLucid! =)
308968337491243008,-1,-1,"Lekker stukje hard gelopen in het noorderplantsoen, batavierenrace komt stiekem toch wel weer dichterbij."
309053450346455040,-1,-1,@Mennooooooo Doe jij heel toevallig mee met de @Batavierenrace?
309056122348793856,-1,-1,@Mennooooooo 27 april: http://t.co/AMDMjzGG2q
309212875749216256,-1,-1,Osse studente werkt mee aan wereldberoemde Batavierenrace: De befaamde Batavierenrace voor studenten... http://t.co/phO7ayEqo0 #Enschede
309342453582929921,-1,-1,Team Buitengewoon NOP gaat de Batavierenrace lopen 26/27/28 april voor Leergeld NOP. Sponsoren jullie hen ook? #allekinderenmogenmeedoen
309348063963656192,-1,-1,RT @MarieJoseJacobs: Team Buitengewoon NOP gaat de Batavierenrace lopen 26/27/28 april voor Leergeld NOP. Sponsoren jullie hen ook? #all ...
309555057093906432,-1,-1,rt @MarieJoseJacobs Team Buitengewoon NOP gaat de Batavierenrace lopen 26/27/28 april voor Leergeld NOP. ... http://t.co/gOlLeT9xEg
309588828874764288,-1,-1,@Arjen_Cuijpers Goed bezig! Ga dadelijk ook even hardlopen. BTW doe dit jaar ook mee aan de @Batavierenrace
309591160404443136,-1,-1,Stoer dat @carlocuijpers mee gaat doen aan de @batavierenrace Ambitieuze run! LEUK
309614291135393793,-1,-1,Meer mensen interesse om mee te doen met de @Batavierenrace ? #dtv
309661113396645891,-1,-1,"Hard, eerste keer van me leven buiten hardlopen, 13km/u gemiddeld, 6,9km. Kom maar op! #batavierenrace http://t.co/84t0UvdInY"
309757666312474624,-1,-1,Dat was een geweldige borreltocht. Op naar de  volgende prozac activiteit : de batavierenrace
310506287962132480,-1,-1,@bums Ha weet je nog: batavierenrace? Jij in rode trainingsbroek? Of was het vatenbierrace? Het gaat je weer lukken!
310798035963768833,-1,-1,Wij zoeken lopers voor batavierenrace
310853574282326016,-1,-1,#event Batavierenrace: 26 April 13 - 17:00 http://t.co/cZIH2SnhKi
311128191739768834,-1,-1,Dit jaar doet de FMF mee aan de Batavierenrace!\nCheck de evenementpagina voor meer informatie en ga mee.... http://t.co/LPCgpak2ur
311460228946358272,-1,-1,Er zijn nog enkele plekken vrij voor de Batavierenrace. Wil je nog mee? Mail dan naar sport@mfvr.nl
311542488127139841,-1,-1,"@LeonHolSchipper, waar hebben jullie zoal hulp bij nodig @Batavierenrace ?"
312144301612232705,-1,-1,RT@ De @Batavierenrace #stadvannu is op zoek naar jou! Vele functies staan klaar om ingevuld te worden:https:/... http://t.co/w4nXYhv0Rj
312206646636072960,-1,-1,RT @enschede: De @Batavierenrace #stadvannu is op zoek naar jou! Vele functies staan klaar om ingevuld te worden:https://t.co/goLCzEeuFA
312208253276794882,-1,-1,Dus. Als echte VSPA'er meedoen aan de Batavierenrace. Ik ben een undercover bal.
312214378059534336,-1,-1,"Lekker sporten, over een tijdje fit voor de batavierenrace! #kfitness"
312290638488039425,-1,-1,@Tbuitink is de hele binnenstad afgesloten op 27 april? #batavierenrace #koningsdag WA wil graag met koets door de stad.. @B_Visschedijk
312497008009175041,-1,-1,"Op 27 april vindt de Batavierenrace plaats, er zijn nog een aantal etappes wat gevuld moet worden. Zie jullie mail... http://t.co/NAMActl4VD"
312504567222902784,-1,-1,Jullie team nog niet compleet? Ga dan op zoek naar lopers! https://t.co/IEuW2NxPoQ  #Batavierenrace @UTwente @RUNijmegen
312505551995154432,-1,-1,RT @Batavierenrace: Jullie team nog niet compleet? Ga dan op zoek naar lopers! https://t.co/zBfUjc5ATg  #Batavierenrace
312510921048219648,-1,-1,"RT @hightechhitters: Op 27 april vindt de Batavierenrace plaats, er zijn nog een aantal etappes wat gevuld moet worden. Zie jullie mail. ..."
312589915638616066,-1,-1,"Heb jij zin in hardlopen?  Doe dan mee met de batavierenrace! Tri movere doet mee, mail naar info@trimovere.nl"
312590606264320000,-1,-1,"RT @TriMovere: Heb jij zin in hardlopen?  Doe dan mee met de batavierenrace! Tri movere doet mee, mail naar info@trimovere.nl"
312605046237970432,-1,-1,"RT @TriMovere: Heb jij zin in hardlopen?  Doe dan mee met de batavierenrace! Tri movere doet mee, mail naar info@trimovere.nl"
312687565931155456,-1,-1,Wij wensen nu al het hele team veel succes met de voorbereidingen richting Batavierenrace 2013! http://t.co/ZPHoEwfwUu
312866005221261313,-1,-1,Dit jaar ga ik weer meedoen aan de #Batavierenrace! Dit keer waarschijnlijk 6km  in de ochtendploeg! Lekker rennen en een goed feestje!
313284586794786817,-1,-1,ik heb meegemaakt bij de Batavierenrace dat de race werd geneutraliseerd. Dat werkte dus wl. Door studenten. geen proforganisatie
313371535081615360,-1,-1,Team S.N.O.T. heeft afgelopen zaterdag weer zijn titel verdedigd op de Geuzenloop. Wij zijn klaar voor de Batavierenrace!
313670929563656192,-1,-1,Maak jij de Batavierenrace tot een groot succes?! : http://t.co/0lm4iuBLoJ #studentensport @batavierenrace
313704751923613696,-1,-1,@PatrickLeijzer de @batavierenrace omdraaien.  Dat was ook toen ik kennis maakte met een bepaalde DSZ-medewerker die zei dat alles kon.
